Sequence Length,Population Size,Num Generations,Crossover Rate,Differential Weight,Min Fidelity,I,X,Y,Z,H,R_X_PI/4
128,20,25,0.6,0.5,0.7844001054763794,0.8233711123466492,0.8571077585220337,0.7972696423530579,0.7844001054763794,0.7846424579620361,0.8489412069320679
128,20,25,0.6,1.0,0.767175018787384,0.8394755721092224,0.8486073017120361,0.8063169717788696,0.767175018787384,0.7876453399658203,0.8327755928039551
128,20,25,0.6,2.0,0.801546573638916,0.8080692291259766,0.8658319115638733,0.8164249062538147,0.8297434449195862,0.801546573638916,0.8188228011131287
128,20,25,0.8,0.5,0.7998721599578857,0.8122247457504272,0.8583939075469971,0.7998721599578857,0.8034059405326843,0.8045669198036194,0.8183399438858032
128,20,25,0.8,1.0,0.8005470037460327,0.8569255471229553,0.860558032989502,0.8253722190856934,0.8310720920562744,0.8005470037460327,0.8195822834968567
128,20,25,0.8,2.0,0.7988725900650024,0.8265626430511475,0.8074043989181519,0.8224258422851562,0.8105018734931946,0.7988725900650024,0.8401969075202942
128,20,25,1.0,0.5,0.7993826866149902,0.8412851095199585,0.8321737051010132,0.7993826866149902,0.8229327201843262,0.8005175590515137,0.8198506236076355
128,20,25,1.0,1.0,0.7876148223876953,0.837349534034729,0.8352096080780029,0.80322265625,0.854867160320282,0.7876148223876953,0.8359547257423401
128,20,25,1.0,2.0,0.8045125007629395,0.8221725225448608,0.852590799331665,0.8206323981285095,0.8045125007629395,0.8089225888252258,0.8382323384284973
256,20,25,0.6,0.5,0.3600410521030426,0.39969930052757263,0.39562976360321045,0.3600410521030426,0.3864900469779968,0.3995549976825714,0.3977949023246765
256,20,25,0.6,1.0,0.35980382561683655,0.3836432099342346,0.39362719655036926,0.35980382561683655,0.4214046597480774,0.37237057089805603,0.3866957426071167
256,20,25,0.6,2.0,0.3577173054218292,0.38370680809020996,0.4018707871437073,0.37136709690093994,0.386162132024765,0.3577173054218292,0.3924047648906708
256,20,25,0.8,0.5,0.3444070816040039,0.40997910499572754,0.38926398754119873,0.3444070816040039,0.39309659600257874,0.4286085069179535,0.3912276029586792
256,20,25,0.8,1.0,0.36645519733428955,0.3707582354545593,0.3832244575023651,0.38426634669303894,0.36645519733428955,0.39592182636260986,0.39116841554641724
256,20,25,0.8,2.0,0.36272546648979187,0.38515496253967285,0.36272546648979187,0.3678317666053772,0.3781782388687134,0.4137149453163147,0.3989793360233307
256,20,25,1.0,0.5,0.3397817611694336,0.38141393661499023,0.39583683013916016,0.3397817611694336,0.3935484290122986,0.38579261302948,0.38113871216773987
256,20,25,1.0,1.0,0.3823786973953247,0.3823786973953247,0.41564691066741943,0.40108081698417664,0.3904978334903717,0.42425066232681274,0.40370896458625793
256,20,25,1.0,2.0,0.3628343343734741,0.41161561012268066,0.42207950353622437,0.41210147738456726,0.41452378034591675,0.43239372968673706,0.3628343343734741
512,20,25,0.6,0.5,0.2709822356700897,0.2956627607345581,0.2929137349128723,0.27509480714797974,0.2709822356700897,0.3177810311317444,0.28828513622283936
512,20,25,0.6,1.0,0.25702589750289917,0.25702589750289917,0.27784788608551025,0.3092276453971863,0.2773978114128113,0.3073680102825165,0.27965426445007324
512,20,25,0.6,2.0,0.277461975812912,0.28547587990760803,0.277461975812912,0.27979427576065063,0.2932974100112915,0.2855081558227539,0.28881704807281494
512,20,25,0.8,0.5,0.26949992775917053,0.26949992775917053,0.3157235383987427,0.3012693226337433,0.27758926153182983,0.3176535964012146,0.2876904010772705
512,20,25,0.8,1.0,0.2722799479961395,0.29155710339546204,0.28502416610717773,0.298117995262146,0.2722799479961395,0.2787827253341675,0.3015116751194
512,20,25,0.8,2.0,0.27190524339675903,0.33046382665634155,0.27190524339675903,0.28954750299453735,0.28464388847351074,0.2731846272945404,0.2734750807285309
512,20,25,1.0,0.5,0.2699991464614868,0.2761993408203125,0.29886457324028015,0.2733233571052551,0.27799105644226074,0.3320685029029846,0.2699991464614868
512,20,25,1.0,1.0,0.2770113945007324,0.2770113945007324,0.2813146710395813,0.30523017048835754,0.28748399019241333,0.2824299931526184,0.29697152972221375
512,20,25,1.0,2.0,0.2539755702018738,0.28289794921875,0.2983319163322449,0.29301387071609497,0.28993916511535645,0.29242831468582153,0.2539755702018738
