Population Size,Num Generations,Crossover Rate,Differential Weight,Sequence Length,Init Sol Type,Min Fidelity,I,X,Y,Z,H,R_X_PI/4
20,25,0.9,0.8,4,normal_distro,0.9447035789489746,0.9827549457550049,0.9591559767723083,0.9933626651763916,0.9916677474975586,0.9447035789489746,0.9765609502792358
20,25,0.225,0.8,16,uniform_distro,0.9445256590843201,0.9445256590843201,0.9917609691619873,0.9935808181762695,0.9927420616149902,0.9798215627670288,0.9658639430999756
10,25,0.225,0.4,256,uniform_distro,0.9444658756256104,0.9444658756256104,0.9758705496788025,0.978958785533905,0.9575191736221313,0.9633674621582031,0.9671163558959961
20,25,0.225,1.6,16,normal_distro,0.944321870803833,0.9905951023101807,0.9507299661636353,0.9949683547019958,0.944321870803833,0.9575883150100708,0.9794223308563232
10,13,0.225,1.6,32,normal_distro,0.9441671967506409,0.9720897674560547,0.9573290348052979,0.9941263198852539,0.9621723890304565,0.9441671967506409,0.9626508951187134
5,25,0.9,1.6,256,normal_distro,0.9434939622879028,0.9470539093017578,0.9434939622879028,0.9690320491790771,0.9444863796234131,0.9464313387870789,0.9591792821884155
5,25,0.45,0.4,16,normal_distro,0.9434410333633423,0.9939123392105103,0.9434410333633423,0.9520344734191895,0.9722068309783936,0.9658904075622559,0.9636729955673218
5,25,0.225,0.4,32,normal_distro,0.9430269598960876,0.9849120378494263,0.9890086650848389,0.9682401418685913,0.9430269598960876,0.9666273593902588,0.9933304190635681
20,25,0.9,1.6,8,normal_distro,0.943016767501831,0.9879732131958008,0.986717164516449,0.943016767501831,0.9960455894470215,0.9908825159072876,0.996061384677887
20,13,0.45,0.4,8,normal_distro,0.9428567886352539,0.9428567886352539,0.9703798294067383,0.9852089285850525,0.9783772230148315,0.9876096248626709,0.9857181906700134
5,13,0.9,0.4,16,normal_distro,0.9426870942115784,0.9955604672431946,0.982894778251648,0.955620288848877,0.9609849452972412,0.9426870942115784,0.9982284903526306
20,13,0.45,0.4,8,uniform_distro,0.9425210952758789,0.984869122505188,0.9783945083618164,0.9425210952758789,0.9861965179443359,0.9803234338760376,0.9841170907020569
10,25,0.45,1.6,32,normal_distro,0.9424035549163818,0.9424035549163818,0.9851531982421875,0.9821968078613281,0.9557534456253052,0.9592962265014648,0.9454172849655151
20,25,0.225,1.6,128,normal_distro,0.9424008727073669,0.9591793417930603,0.9788551330566406,0.9424008727073669,0.9708997011184692,0.9711601138114929,0.9839396476745605
20,25,0.9,1.6,256,uniform_distro,0.9423732161521912,0.9423732161521912,0.9467098712921143,0.953045129776001,0.9613589644432068,0.9438391923904419,0.9516660571098328
5,13,0.9,0.4,8,normal_distro,0.942246675491333,0.9922257661819458,0.9909711480140686,0.9977365732192993,0.942246675491333,0.988148033618927,0.9709490537643433
20,13,0.45,0.8,32,uniform_distro,0.9420721530914307,0.9932738542556763,0.9485357999801636,0.9634780287742615,0.9420721530914307,0.9512001276016235,0.9502334594726562
10,25,0.45,0.8,64,uniform_distro,0.9420326948165894,0.9428014755249023,0.9921778440475464,0.9836859703063965,0.9420326948165894,0.9630637168884277,0.9796339273452759
20,25,0.225,1.6,64,uniform_distro,0.9419825673103333,0.9875929951667786,0.9668689966201782,0.9895094633102417,0.951608419418335,0.9887007474899292,0.9419825673103333
20,25,0.45,0.8,4,normal_distro,0.9417983293533325,0.9417983293533325,0.9888439178466797,0.9929623603820801,0.9611953496932983,0.9927465915679932,0.9550539255142212
10,25,0.9,1.6,16,normal_distro,0.9417675137519836,0.9817292094230652,0.995708703994751,0.9850665330886841,0.976225733757019,0.9935170412063599,0.9417675137519836
20,25,0.9,1.6,16,normal_distro,0.9417613744735718,0.9747704267501831,0.9840474724769592,0.9710697531700134,0.9417613744735718,0.9473442435264587,0.9833927154541016
20,25,0.45,1.6,256,uniform_distro,0.9414767622947693,0.9500452280044556,0.9552154541015625,0.9442306160926819,0.965811550617218,0.968687891960144,0.9414767622947693
20,6,0.225,0.8,64,normal_distro,0.9413881301879883,0.9613001346588135,0.947468638420105,0.9531299471855164,0.9781746864318848,0.9413881301879883,0.9758521318435669
10,25,0.225,1.6,16,normal_distro,0.9413633346557617,0.9779844284057617,0.9952026605606079,0.9805037975311279,0.9831352233886719,0.9798186421394348,0.9413633346557617
10,25,0.9,0.4,16,normal_distro,0.9413130283355713,0.9950923323631287,0.9987382888793945,0.9413130283355713,0.9961380958557129,0.9827272891998291,0.9750186204910278
20,25,0.9,0.8,8,normal_distro,0.9412218332290649,0.9412218332290649,0.9653793573379517,0.9847337007522583,0.9779797792434692,0.9986850619316101,0.9974444508552551
10,13,0.225,0.4,16,normal_distro,0.9411510229110718,0.9803162813186646,0.9862216711044312,0.9921653866767883,0.9535849094390869,0.9411510229110718,0.9481276273727417
20,25,0.45,1.6,64,uniform_distro,0.9411060810089111,0.9411060810089111,0.9571415185928345,0.9700852036476135,0.9788321852684021,0.9868385195732117,0.9904404878616333
10,25,0.9,0.8,128,normal_distro,0.9411053657531738,0.9739929437637329,0.9436004161834717,0.9411053657531738,0.9736411571502686,0.9821373224258423,0.9758036136627197
20,25,0.9,1.6,64,uniform_distro,0.9408925771713257,0.9408925771713257,0.9807491302490234,0.9610539674758911,0.9875316619873047,0.9898426532745361,0.9907709360122681
20,13,0.9,0.4,32,normal_distro,0.9407938122749329,0.9900898337364197,0.9927661418914795,0.9798501133918762,0.9407938122749329,0.9911097884178162,0.9921444058418274
20,13,0.225,1.6,256,normal_distro,0.9406416416168213,0.9603877067565918,0.9406416416168213,0.9569393396377563,0.9562897086143494,0.9641189575195312,0.9727274179458618
10,13,0.9,1.6,8,uniform_distro,0.9405179023742676,0.9405179023742676,0.9727962613105774,0.988030195236206,0.9794316291809082,0.9584219455718994,0.9530009627342224
20,25,0.9,0.4,256,uniform_distro,0.9401788711547852,0.9461726546287537,0.9401788711547852,0.9487490653991699,0.9735606908798218,0.962671160697937,0.967479944229126
